MARC code	Count	Description
|en	15	No description - not a known MARC code
|he	87	No description - not a known MARC code
|in	1	No description - not a known MARC code
|jp	15	No description - not a known MARC code
|th	5	No description - not a known MARC code
|ti	2	No description - not a known MARC code
|tu	9	No description - not a known MARC code
|ur	2	No description - not a known MARC code
||a	2	No description - not a known MARC code
||c	1	No description - not a known MARC code
||e	1	No description - not a known MARC code
||h	1	No description - not a known MARC code
|||	1162736	No description - not a known MARC code
