System Number	$b	$j
015174000	HMNTS	lsidyv38d96c2a
015174001	HMNTS	lsidyv38d878d7
015174002	HMNTS	lsidyv38db11df
015174003	HMNTS	lsidyv38daddff
015174004	HMNTS	lsidyv38d7196a
015174005	HMNTS	lsidyv38d7ab31
015174006	HMNTS	lsidyv38d99278
015174007	HMNTS	lsidyv38d7867b
015174008	HMNTS	lsidyv38d78e40
015174009	HMNTS	lsidyv38db1d18
015174010	HMNTS	lsidyv38dc8ff3
015174011	HMNTS	lsidyv38dc4897
015174012	HMNTS	lsidyv38d8e342
015174013	HMNTS	lsidyv38d89b14
015174014	HMNTS	lsidyv38d87164
015174015	HMNTS	lsidyv38d88ee5
015174016	HMNTS	lsidyv2aee1568
015174017	HMNTS	lsidyv38db43c6
015174018	HMNTS	lsidyv38d9299f
015174019	HMNTS	lsidyv38d76db3
015174020	HMNTS	lsidyv38d97e26
015174021	HMNTS	lsidyv38dabf23
015174022	HMNTS	lsidyv38dcef78
015174023	HMNTS	lsidyv38d754b1
015174024	HMNTS	lsidyv38dc9cfa
015174025	HMNTS	lsidyv38d744c5
015174026	HMNTS	lsidyv38de66e1
015174027	HMNTS	lsidyv38da67b3
015174028	HMNTS	lsidyv38de364f
015174029	HMNTS	lsidyv3e5f9b18
015174030	HMNTS	lsidyv38db9c04
015174031	HMNTS	lsidyv38dc6591
015174032	HMNTS	lsidyv3e5f53a5
015174033	HMNTS	lsidyv38dad740
015174034	HMNTS	lsidyv38d8d42b
015174035	HMNTS	lsidyv38dd4a14
015174036	HMNTS	lsidyv38d7e9e1
015174037	HMNTS	lsidyv38dc14df
015174038	HMNTS	lsidyv38de168e
015174039	HMNTS	lsidyv38d8b1ee
015174040	HMNTS	lsidyv38dd1937
015174041	HMNTS	lsidyv38d85404
015174042	HMNTS	lsidyv38d861cb
015174043	HMNTS	lsidyv38db7f07
015174044	HMNTS	lsidyv2af098d0
015174045	HMNTS	lsidyv3e5f69d4
015174046	HMNTS	lsidyv38dc3680
015174047	HMNTS	lsidyv38d7f07c
015174048	HMNTS	lsidyv2aedc896
015174049	HMNTS	lsidyv38db8d2c
015174050	HMNTS	lsidyv38dbedaa
015174051	HMNTS	lsidyv38d98bc7
015174052	HMNTS	lsidyv38dc6ee2
015174053	HMNTS	lsidyv38d923a2
015174054	HMNTS	lsidyv38d844d7
015174055	HMNTS	lsidyv38dd3a57
015174056	HMNTS	lsidyv38d8a6a5
015174057	HMNTS	lsidyv38d7f895
015174058	HMNTS	lsidyv38db7200
015174059	HMNTS	lsidyv38ddc4e9
015174060	HMNTS	lsidyv38da58d8
015174061	HMNTS	lsidyv38da20ea
015174062	HMNTS	lsidyv38d7a084
015174063	HMNTS	lsidyv38db0576
015174064	HMNTS	lsidyv2aed4c61
015174065	HMNTS	lsidyv38dd8f8d
015174066	HMNTS	lsidyv38dbba82
015174067	HMNTS	lsidyv38de81c5
015174068	HMNTS	lsidyv2af05aea
015174069	HMNTS	lsidyv38d9c795
015174070	HMNTS	lsidyv38db1946
015174071	HMNTS	lsidyv38dc8306
015174072	HMNTS	lsidyv38d96339
015174073	HMNTS	lsidyv38d95b42
015174074	HMNTS	lsidyv38d74cb0
015174075	HMNTS	lsidyv38d8339b
015174076	HMNTS	lsidyv38dd67bc
015174077	HMNTS	lsidyv38da7cad
015174078	HMNTS	lsidyv38da1707
015174079	HMNTS	lsidyv38d94ae0
015174080	HMNTS	lsidyv38deb34c
015174081	HMNTS	lsidyv38d77eda
015174082	HMNTS	lsidyv38da95a5
015174083	HMNTS	lsidyv38da3f44
015174084	HMNTS	lsidyv38da8b64
015174085	HMNTS	lsidyv38d92fc0
015174086	HMNTS	lsidyv38dd00ab
015174087	HMNTS	lsidyv38dc21bf
015174088	HMNTS	lsidyv38da3527
015174089	HMNTS	lsidyv38daa8f1
015174090	HMNTS	lsidyv38dab34a
015174091	HMNTS	lsidyv38de4d07
015174092	HMNTS	lsidyv38d7b22c
015174093	HMNTS	lsidyv38d727ec
015174094	HMNTS	lsidyv38db0285
015174095	HMNTS	lsidyv38de1d3f
015174096	HMNTS	lsidyv2aef64fe
015174097	HMNTS	lsidyv38d9a1f8
015174098	HMNTS	lsidyv38d8be65
015174099	HMNTS	lsidyv38d9f9e3
015174100	HMNTS	lsidyv38d7ba72
015174101	HMNTS	lsidyv38d90312
015174102	HMNTS	lsidyv38d884d4
015174103	HMNTS	lsidyv38d80132
015174104	HMNTS	lsidyv38db4597
015174105	HMNTS	lsidyv38daee49
015174106	HMNTS	lsidyv38db40f9
015174107	HMNTS	lsidyv2aee9507
015174108	HMNTS	lsidyv38d9d806
015174109	HMNTS	lsidyv38dc5f34
015174110	HMNTS	lsidyv38de41f8
015174111	HMNTS	lsidyv38ddd775
015174112	HMNTS	lsidyv38da4cdb
015174113	HMNTS	lsidyv38dde26a
015174114	HMNTS	lsidyv38dac8ee
015174115	HMNTS	lsidyv38dacbf7
015174116	HMNTS	lsidyv38dbfe4d
015174117	HMNTS	lsidyv38d97833
015174118	HMNTS	lsidyv3e5f82d9
015174119	HMNTS	lsidyv38ddfdf6
015174120	HMNTS	lsidyv38d83be6
015177954	HMNTS	lsidyv2b06a3ed
015177955	HMNTS	lsidyv2c6e1d63
015177956	HMNTS	lsidyv2b0d1180
015177957	HMNTS	lsidyv2b0c0b21
015177958	HMNTS	lsidyv2b091bbb
015177959	HMNTS	lsidyv2afe4fb0
015177960	HMNTS	lsidyv2b045e53
015177961	HMNTS	lsidyv2afdec7d
015177962	HMNTS	lsidyv2afe9e14
015177963	HMNTS	lsidyv2b018f15
015177964	HMNTS	lsidyv2b0e791e
015177965	HMNTS	lsidyv2b0ac007
015177966	HMNTS	lsidyv2b0cffa3
015177967	HMNTS	lsidyv2c1fd81a
015177968	HMNTS	lsidyv2c20412f
015177969	HMNTS	lsidyv2b0a2313
015177970	HMNTS	lsidyv2b0a23dc
015177971	HMNTS	lsidyv2c67dae5
015177972	HMNTS	lsidyv2ae805d8
015177973	HMNTS	lsidyv2b0fd8b4
015177974	HMNTS	lsidyv2b093998
015177975	HMNTS	lsidyv2b0692c0
015177976	HMNTS	lsidyv2aecafb8
015177977	HMNTS	lsidyv3012655a
015177978	HMNTS	lsidyv2ae80920
015177979	HMNTS	lsidyv2c4a1426
015177980	HMNTS	lsidyv2b05a077
015177981	HMNTS	lsidyv2ae809a1
015177982	HMNTS	lsidyv2b097cb6
015177983	HMNTS	lsidyv2c5affc8
015177984	HMNTS	lsidyv2c52e9d7
015177985	HMNTS	lsidyv2b039663
015177986	HMNTS	lsidyv2b0ef71b
015177987	HMNTS	lsidyv2b0a6b9e
015177988	HMNTS	lsidyv2c56149f
015177989	HMNTS	lsidyv2aebb37a
015177990	HMNTS	lsidyv2e9e2853
015177991	HMNTS	lsidyv2c677d0e
015177992	HMNTS	lsidyv2b0dc4dc
015177993	HMNTS	lsidyv2aebb754
015177994	HMNTS	lsidyv2b01aebb
015177995	HMNTS	lsidyv2b050240
015177996	HMNTS	lsidyv2ae93ff8
015177997	HMNTS	lsidyv2c4a20f1
015177998	HMNTS	lsidyv2b09a870
015177999	HMNTS	lsidyv2c619061
015178000	HMNTS	lsidyv2c7180b8
015178001	HMNTS	lsidyv2b041e77
015178002	HMNTS	lsidyv2ae7ba40
015106211	HMNTS	lsidyv38a7a814
015106214	HMNTS	lsidyv3e530ebb
015106215	HMNTS	lsidyv38a6ed89
015106216	HMNTS	lsidyv38964b05
015106217	HMNTS	lsidyv389793ea
015106218	HMNTS	lsidyv38979483
015106219	HMNTS	lsidyv38844230
015106220	HMNTS	lsidyv38a5c5dc
015106221	HMNTS	lsidyv38916039
015106222	HMNTS	lsidyv3896b4ce
015106223	HMNTS	lsidyv38b10a0a
015106224	HMNTS	lsidyv388752b9
015106225	HMNTS	lsidyv38acf3dc
015106226	HMNTS	lsidyv38827514
015106227	HMNTS	lsidyv38a47f2c
015106228	HMNTS	lsidyv38a3a63c
015106229	HMNTS	lsidyv3e51561a
015106230	HMNTS	lsidyv38931e6e
015106231	HMNTS	lsidyv38de29b4
015106232	HMNTS	lsidyv38929eb6
015106233	HMNTS	lsidyv3896c3f7
015106234	HMNTS	lsidyv38878987
015106235	HMNTS	lsidyv38870bcd
015106236	HMNTS	lsidyv388c70e8
015106237	HMNTS	lsidyv388c7324
015106238	HMNTS	lsidyv3896cf4b
015106239	HMNTS	lsidyv38841a0b
015106240	HMNTS	lsidyv389219e7
015106241	HMNTS	lsidyv38865d6e
015106242	HMNTS	lsidyv3e4c3958
015106243	HMNTS	lsidyv3882cab7
015106244	HMNTS	lsidyv3896e84a
015106245	HMNTS	lsidyv38974cfb
015106246	HMNTS	lsidyv3887d5ce
015106247	HMNTS	lsidyv388f1c25
015106248	HMNTS	lsidyv388c55bc
015106249	HMNTS	lsidyv3882f830
015106250	HMNTS	lsidyv3883f870
015106251	HMNTS	lsidyv38ac5d0f
015106252	HMNTS	lsidyv38a3bbfe
015106253	HMNTS	lsidyv3882e48a
015106255	HMNTS	lsidyv3882ed9f
015106256	HMNTS	lsidyv38928ff6
015106257	HMNTS	lsidyv38a3c2a3
015106258	HMNTS	lsidyv38984307
015106259	HMNTS	lsidyv38947854
015106260	HMNTS	lsidyv389d2411
015106261	HMNTS	lsidyv3e4cc30f
015106262	HMNTS	lsidyv388ab8d4
015106263	HMNTS	lsidyv3892a90f
015106264	HMNTS	lsidyv38ad02ea
015106265	HMNTS	lsidyv3891b0cf
015106266	HMNTS	lsidyv3891bf48
015106267	HMNTS	lsidyv38ab4acb
015106268	HMNTS	lsidyv38ab3e7b
015106269	HMNTS	lsidyv2cb755f2
015106270	HMNTS	lsidyv38ac6c83
015106271	HMNTS	lsidyv38953b31
015106272	HMNTS	lsidyv38a41287
015106273	HMNTS	lsidyv38ab6477
015106274	HMNTS	lsidyv38a3eb85
015106275	HMNTS	lsidyv38a439d6
015106276	HMNTS	lsidyv38a7607f
015106277	HMNTS	lsidyv388d75a5
015106278	HMNTS	lsidyv388ec600
015106279	HMNTS	lsidyv388cddd2
015106280	HMNTS	lsidyv3890e679
015106281	HMNTS	lsidyv388c549f
015106282	HMNTS	lsidyv3884ff3d
015106283	HMNTS	lsidyv3897a421
015106284	HMNTS	lsidyv38885320
015106285	HMNTS	lsidyv38cd4a2f
015106286	HMNTS	lsidyv388c8754
015106287	HMNTS	lsidyv388dbe65
015106288	HMNTS	lsidyv3898e86b
015106291	HMNTS	lsidyv3895dc64
015106292	HMNTS	lsidyv38a71ede
015106293	HMNTS	lsidyv388af545
015106294	HMNTS	lsidyv38b124e4
015106295	HMNTS	lsidyv3886ee27
015106296	HMNTS	lsidyv38c23378
015106297	HMNTS	lsidyv389778ac
015106298	HMNTS	lsidyv3883ecb0
015106299	HMNTS	lsidyv38a8b446
015106300	HMNTS	lsidyv38ac530d
015106301	HMNTS	lsidyv38abe732
015106302	HMNTS	lsidyv38d60c02
015106303	HMNTS	lsidyv3883d457
015106304	HMNTS	lsidyv38ab3fe2
015106305	HMNTS	lsidyv3882b063
015106306	HMNTS	lsidyv389303e7
015106307	HMNTS	lsidyv3897ed03
015106308	HMNTS	lsidyv38978b08
015106309	HMNTS	lsidyv388302da
015106310	HMNTS	lsidyv38842a58
015106311	HMNTS	lsidyv3883273c
015106312	HMNTS	lsidyv3884f73d
015106313	HMNTS	lsidyv38adc68c
015106314	HMNTS	lsidyv388e2e01
015106315	HMNTS	lsidyv388e844d
015106316	HMNTS	lsidyv388c8c76
015106317	HMNTS	lsidyv38a51b49
015106318	HMNTS	lsidyv38ada2ab
015106319	HMNTS	lsidyv38abc2c4
015106320	HMNTS	lsidyv388cfb77
015106321	HMNTS	lsidyv38958ed9
015106322	HMNTS	lsidyv38847944
015106323	HMNTS	lsidyv3896e274
015106324	HMNTS	lsidyv38d0de4a
015106325	HMNTS	lsidyv38add357
015106326	HMNTS	lsidyv38af0b8e
015106327	HMNTS	lsidyv3884f254
015106328	HMNTS	lsidyv38acd6ec
015106329	HMNTS	lsidyv38916ee1
015106330	HMNTS	lsidyv388cb098
015106331	HMNTS	lsidyv388362dd
015106332	HMNTS	lsidyv3896792e
015106333	HMNTS	lsidyv3893d42c
015106334	HMNTS	lsidyv38942c3d
015106335	HMNTS	lsidyv389656ce
015106336	HMNTS	lsidyv38d02624
015106337	HMNTS	lsidyv3892b667
015106338	HMNTS	lsidyv3890338a
015106339	HMNTS	lsidyv38964f60
015106341	HMNTS	lsidyv3883f2ad
015106342	HMNTS	lsidyv38ac0231
015106343	HMNTS	lsidyv38ab5620
015106344	HMNTS	lsidyv3897e9fa
015106345	HMNTS	lsidyv388c2f5d
015106346	HMNTS	lsidyv3884fcd0
015106347	HMNTS	lsidyv388c5f22
015106348	HMNTS	lsidyv38a40a6e
015106349	HMNTS	lsidyv3882b656
015106350	HMNTS	lsidyv3885e1f4
015106351	HMNTS	lsidyv38cf2776
015111131	HMNTS	lsidyv38b27a31
015111132	HMNTS	lsidyv38afef42
015111133	HMNTS	lsidyv38b04d6f
015111134	HMNTS	lsidyv38b30f6d
015111135	HMNTS	lsidyv38b18691
015111136	HMNTS	lsidyv38b07aa9
015111137	HMNTS	lsidyv38afc0e5
015111138	HMNTS	lsidyv38ba1552
015111139	HMNTS	lsidyv38b20fb6
015111140	HMNTS	lsidyv38b1ff3c
015111141	HMNTS	lsidyv38a1db6f
015111142	HMNTS	lsidyv38b230bd
015111143	HMNTS	lsidyv38afb773
015111144	HMNTS	lsidyv38aff7c6
015111145	HMNTS	lsidyv38b3ef40
015111146	HMNTS	lsidyv38b06d3e
015111147	HMNTS	lsidyv38a2bf81
015111148	HMNTS	lsidyv38b2d3d3
015111149	HMNTS	lsidyv38b07c10
015111150	HMNTS	lsidyv38afd7f1
015111151	HMNTS	lsidyv38b6ae2c
015111152	HMNTS	lsidyv38af5f66
015111153	HMNTS	lsidyv38b530cf
015111154	HMNTS	lsidyv38b568d7
015111155	HMNTS	lsidyv38b55716
015111156	HMNTS	lsidyv38a21e00
015111157	HMNTS	lsidyv38af6ac4
015111158	HMNTS	lsidyv38a0c989
015111159	HMNTS	lsidyv38b0798c
015111160	HMNTS	lsidyv38b000cf
015111161	HMNTS	lsidyv38b25c50
015111162	HMNTS	lsidyv389ea59a
015111163	HMNTS	lsidyv3898b4f9
015111164	HMNTS	lsidyv38b03912
015111165	HMNTS	lsidyv38a2d24c
015111166	HMNTS	lsidyv38af7c75
015111167	HMNTS	lsidyv38b3aa82
015111168	HMNTS	lsidyv38b4dd22
015111169	HMNTS	lsidyv38b4badf
015111170	HMNTS	lsidyv38af472f
015111171	HMNTS	lsidyv38afadf3
015111172	HMNTS	lsidyv38b3ae93
015111173	HMNTS	lsidyv38a1e4fe
015111174	HMNTS	lsidyv38a161d0
015111175	HMNTS	lsidyv38b3f62c
015111176	HMNTS	lsidyv38b4d461
015111177	HMNTS	lsidyv38b3b5b2
015111178	HMNTS	lsidyv38b66021
015111179	HMNTS	lsidyv38b40d08
015111180	HMNTS	lsidyv38af9e16
015111181	HMNTS	lsidyv38ba3777
015111182	HMNTS	lsidyv38b062b9
015111183	HMNTS	lsidyv38af9405
015111184	HMNTS	lsidyv38a11abf
015111185	HMNTS	lsidyv38a1bab2
015111186	HMNTS	lsidyv38b45ccd
015111187	HMNTS	lsidyv38b4b6ce
015111188	HMNTS	lsidyv38b973e6
015111189	HMNTS	lsidyv38b627ec
015111190	HMNTS	lsidyv38b4f8a2
015111191	HMNTS	lsidyv38b37952
015111192	HMNTS	lsidyv38b6316d
015111193	HMNTS	lsidyv38b9ac54
015111194	HMNTS	lsidyv38b0894d
015111195	HMNTS	lsidyv38af54e1
015111196	HMNTS	lsidyv38b03acb
015111197	HMNTS	lsidyv38b065da
015111198	HMNTS	lsidyv38afabe6
015111199	HMNTS	lsidyv38b9ed3b
015111200	HMNTS	lsidyv38b16aa5
015111201	HMNTS	lsidyv389f3df3
015111202	HMNTS	lsidyv38b2a000
015111203	HMNTS	lsidyv38b573ce
015111204	HMNTS	lsidyv38b8d505
015111205	HMNTS	lsidyv38b4c058
015111206	HMNTS	lsidyv38b98868
015111207	HMNTS	lsidyv38b42714
015111208	HMNTS	lsidyv38b48041
015111209	HMNTS	lsidyv38af5b8f
015111210	HMNTS	lsidyv38af5097
015111211	HMNTS	lsidyv38b515f8
015111212	HMNTS	lsidyv38b385b8
015111213	HMNTS	lsidyv38a24b14
015111214	HMNTS	lsidyv38b65056
015111215	HMNTS	lsidyv38b8f170
015111216	HMNTS	lsidyv38b07497
015111217	HMNTS	lsidyv38afed41
015111218	HMNTS	lsidyv38b4821e
015111219	HMNTS	lsidyv38b37bef
015111220	HMNTS	lsidyv38b4979e
015111221	HMNTS	lsidyv38b00a6a
015111222	HMNTS	lsidyv38b95fa1
015111223	HMNTS	lsidyv38a31f22
015111224	HMNTS	lsidyv38b9faba
015111225	HMNTS	lsidyv38a2eb50
015111226	HMNTS	lsidyv38b37211
015111227	HMNTS	lsidyv38b321bb
015111228	HMNTS	lsidyv38b4af5d
015111229	HMNTS	lsidyv38b3d243
015111230	HMNTS	lsidyv38b6a94d
015111231	HMNTS	lsidyv38b8f695
015111232	HMNTS	lsidyv38b47535
015111233	HMNTS	lsidyv38b60d2d
015111234	HMNTS	lsidyv38b05998
015111235	HMNTS	lsidyv38b47abc
015111236	HMNTS	lsidyv38afa4bd
015111237	HMNTS	lsidyv38b32f2b
015111238	HMNTS	lsidyv38af59e2
015111239	HMNTS	lsidyv38b3c320
015111240	HMNTS	lsidyv38b97e03
015111241	HMNTS	lsidyv38b90465
015111242	HMNTS	lsidyv38ba2229
015111243	HMNTS	lsidyv38b26841
015111244	HMNTS	lsidyv38b95554
015111245	HMNTS	lsidyv38af42be
015111246	HMNTS	lsidyv38b4ea35
015111247	HMNTS	lsidyv38b06bef
015111248	HMNTS	lsidyv38b07d15
015111249	HMNTS	lsidyv38af7654
015111250	HMNTS	lsidyv38b084ce
015111251	HMNTS	lsidyv38b17c44
015111252	HMNTS	lsidyv38b99dc4
015111253	HMNTS	lsidyv38b6d134
015111254	HMNTS	lsidyv38b62229
015111255	HMNTS	lsidyv38b3238c
015111256	HMNTS	lsidyv38b66554
015111257	HMNTS	lsidyv38af9166
015111258	HMNTS	lsidyv38af51d8
015111259	HMNTS	lsidyv38b1d160
015111260	HMNTS	lsidyv38b860e4
015111261	HMNTS	lsidyv38af64f7
015111262	HMNTS	lsidyv38b50653
015111263	HMNTS	lsidyv38b053c9
015111264	HMNTS	lsidyv38b3d450
015111265	HMNTS	lsidyv38b2ef0b
015111266	HMNTS	lsidyv38b5c158
015111267	HMNTS	lsidyv38b6be84
015111268	HMNTS	lsidyv38af706f
015111269	HMNTS	lsidyv38b3f3b3
015111270	HMNTS	lsidyv38afb056
015111271	HMNTS	lsidyv38b05270
015111272	HMNTS	lsidyv38aff1af
015111273	HMNTS	lsidyv38b5da14
015111274	HMNTS	lsidyv3898cc1f
015111275	HMNTS	lsidyv38b99863
015111276	HMNTS	lsidyv389ebce5
015111277	HMNTS	lsidyv38b8719d
015111278	HMNTS	lsidyv38b8fb44
015111279	HMNTS	lsidyv38b03e28
015111280	HMNTS	lsidyv38b8d0aa
015111281	HMNTS	lsidyv38b69978
015111808	HMNTS	lsidyv38ba7900
015111809	HMNTS	lsidyv38ba6128
015115528	HMNTS	lsidyv38ca6ca3
015115529	HMNTS	lsidyv38c9110c
015115530	HMNTS	lsidyv38bf643d
015115531	HMNTS	lsidyv38ca1d8f
015115532	HMNTS	lsidyv38ba8b80
015115533	HMNTS	1191132
015115534	HMNTS	lsidyv38ca2a0d
015115535	HMNTS	lsidyv38bd5577
015115536	HMNTS	lsidyv38c50171
015115537	HMNTS	lsidyv38c21267
015115538	HMNTS	lsidyv38c600b6
015115539	HMNTS	lsidyv38bb2200
015115540	HMNTS	lsidyv38ba8cbb
015115541	HMNTS	lsidyv38cad7ce
015115542	HMNTS	lsidyv38c51dd2
015115543	HMNTS	lsidyv38c1b066
015115544	HMNTS	lsidyv38baa7ed
015115545	HMNTS	lsidyv3e56852f
015115546	HMNTS	lsidyv38be10c7
015115547	HMNTS	lsidyv38c3d33e
015115548	HMNTS	lsidyv38c6b6b5
015115549	HMNTS	lsidyv38d53c2a
015115550	HMNTS	lsidyv38c67ff2
015115551	HMNTS	lsidyv38c6de2e
015115552	HMNTS	lsidyv38c9c4f9
015115553	HMNTS	lsidyv38c6e101
015115554	HMNTS	lsidyv38c5c389
015115555	HMNTS	lsidyv38c5677c
015115556	HMNTS	lsidyv38c85e33
015115557	HMNTS	lsidyv38c7192c
015115558	HMNTS	lsidyv38ca327a
015115559	HMNTS	lsidyv389cb350
015115560	HMNTS	lsidyv38c5a524
015115561	HMNTS	lsidyv3894b97f
015115562	HMNTS	lsidyv38bdf06a
015115563	HMNTS	lsidyv38c249b8
015115564	HMNTS	lsidyv3e5af115
015115565	HMNTS	lsidyv38bee407
015115566	HMNTS	lsidyv38bf989a
015115567	HMNTS	lsidyv38bd66cb
015115568	HMNTS	lsidyv38c6820d
015115569	HMNTS	lsidyv38c89500
015115570	HMNTS	lsidyv38bd0009
015115571	HMNTS	lsidyv38bab0a2
015115572	HMNTS	lsidyv38c575a9
015115573	HMNTS	lsidyv38ca1a4a
015115574	HMNTS	lsidyv38c44747
015115575	HMNTS	lsidyv38c6460a
015115576	HMNTS	lsidyv38ca3d93
015115577	HMNTS	lsidyv38c6f2b2
015115578	HMNTS	lsidyv38cabb60
015115579	HMNTS	lsidyv38c873bc
015115580	HMNTS	lsidyv38c5b4ec
015115581	HMNTS	lsidyv38c50432
015115582	HMNTS	lsidyv38ba8bb9
015115583	HMNTS	lsidyv38bcad3b
015115584	HMNTS	lsidyv38ba8b2f
015115585	HMNTS	lsidyv38c77835
015115586	HMNTS	lsidyv38c4b7ed
015115587	HMNTS	lsidyv38c6dcc0
015115588	HMNTS	lsidyv38ba8a43
015115589	HMNTS	lsidyv38c73e5d
015115590	HMNTS	lsidyv38c6057d
015115591	HMNTS	lsidyv389631ab
015115592	HMNTS	lsidyv38ba9525
015115593	HMNTS	lsidyv38bd848b
015115594	HMNTS	lsidyv38bab2ac
015115595	HMNTS	lsidyv38bca150
015115596	HMNTS	lsidyv38c4c102
015115597	HMNTS	lsidyv38c4c70b
015115598	HMNTS	lsidyv38c64379
015115599	HMNTS	lsidyv38c8d7ea
015115600	HMNTS	lsidyv38c8f397
015115601	HMNTS	lsidyv38beb727
015115602	HMNTS	lsidyv3e599efa
015115603	HMNTS	lsidyv38bca8c1
015115604	HMNTS	lsidyv38ba9d53
015115605	HMNTS	lsidyv38ba95be
015115606	HMNTS	lsidyv38bbcdf4
015115607	HMNTS	lsidyv38c6fe78
015115608	HMNTS	lsidyv38bf08d5
015115609	HMNTS	lsidyv38bd5d9c
015115610	HMNTS	lsidyv38c226ec
015115611	HMNTS	lsidyv3e4f9db5
015115612	HMNTS	lsidyv38bcfd30
015115613	HMNTS	lsidyv3e5beb8a
015115614	HMNTS	lsidyv38bac373
015115615	HMNTS	lsidyv3895ce19
015115616	HMNTS	lsidyv38c3efc3
015115617	HMNTS	lsidyv3e5b86b7
015115618	HMNTS	lsidyv38be5874
015115619	HMNTS	lsidyv38c6c23e
015115620	HMNTS	lsidyv38c2443d
015115621	HMNTS	lsidyv38c2b759
015115622	HMNTS	lsidyv38c0b1ae
015115623	HMNTS	lsidyv38c2f52a
015115624	HMNTS	lsidyv38c354ca
015115625	HMNTS	lsidyv3e5df84c
015115626	HMNTS	lsidyv38bcbfe5
015115627	HMNTS	lsidyv38bf06a4
015115628	HMNTS	lsidyv38bacce5
015115629	HMNTS	lsidyv38bc3ba4
015115630	HMNTS	lsidyv38bd6594
015115631	HMNTS	lsidyv38c6e15e
015115632	HMNTS	lsidyv38c670c5
015115633	HMNTS	lsidyv38c5843a
015115634	HMNTS	lsidyv38c6681a
015115635	HMNTS	lsidyv38bf1d2f
015115636	HMNTS	lsidyv38c0a6ad
015115637	HMNTS	lsidyv38bdcb4b
015115638	HMNTS	lsidyv38ca7c78
015115639	HMNTS	lsidyv38ba9edb
015115640	HMNTS	lsidyv38bcaa9e
015115641	HMNTS	lsidyv38c356fb
015115642	HMNTS	lsidyv38c595ef
015115643	HMNTS	lsidyv38c853cc
015115644	HMNTS	lsidyv38c54bc3
015115645	HMNTS	lsidyv38bd5778
015115646	HMNTS	lsidyv38c19e31
015115647	HMNTS	lsidyv38c6e781
015115648	HMNTS	lsidyv38bb3fae
015115649	HMNTS	lsidyv38bd7d27
015115650	HMNTS	lsidyv38c905e7
015115651	HMNTS	lsidyv38c8c1b9
015115652	HMNTS	lsidyv38c83ce4
015115653	HMNTS	lsidyv38c79d7b
015115654	HMNTS	lsidyv38c4f64c
015115655	HMNTS	lsidyv38bd05a3
015115656	HMNTS	lsidyv38c1990c
015115657	HMNTS	lsidyv38bea101
015115658	HMNTS	lsidyv38bf1d98
015115659	HMNTS	lsidyv38be27be
015115660	HMNTS	lsidyv38c35dcf
015115661	HMNTS	lsidyv38bb008f
015115662	HMNTS	lsidyv38bacdae
015115663	HMNTS	lsidyv38be9984
015115664	HMNTS	lsidyv38ba8d18
015115665	HMNTS	lsidyv38bd5e4d
015115666	HMNTS	lsidyv38baa583
015115667	HMNTS	lsidyv38c2e556
015115668	HMNTS	lsidyv38c6be02
015115669	HMNTS	lsidyv38c8d0c1
015115670	HMNTS	lsidyv38bb3324
015115671	HMNTS	lsidyv38bd5829
015115672	HMNTS	lsidyv38c106f8
015115673	HMNTS	lsidyv38c1035f
015115674	HMNTS	lsidyv38c6cb7b
015115675	HMNTS	lsidyv38c8465b
015115676	HMNTS	lsidyv38bd63cf
015115677	HMNTS	lsidyv38bc3da5
015115678	HMNTS	lsidyv38bc4972
015115679	HMNTS	lsidyv38bc47a1
015115680	HMNTS	lsidyv38c165c0
015115681	HMNTS	lsidyv38bf0dca
015115682	HMNTS	lsidyv38bf189d
015115683	HMNTS	lsidyv38c13e46
015115684	HMNTS	lsidyv38c0e22a
015115685	HMNTS	lsidyv38bd7286
015115686	HMNTS	lsidyv38ba979b
015115687	HMNTS	lsidyv38bced9a
015115688	HMNTS	lsidyv38bbb1f7
015115689	HMNTS	lsidyv38ba98c4
015115690	HMNTS	lsidyv38c6f5e5
015115691	HMNTS	lsidyv38c2ef2b
015115692	HMNTS	lsidyv38c9387c
015115693	HMNTS	lsidyv38c8b8de
015115694	HMNTS	lsidyv38c6372b
015115695	HMNTS	lsidyv38bbf11b
015115696	HMNTS	lsidyv38cae953
015115697	HMNTS	lsidyv38c78fc2
015115698	HMNTS	lsidyv38bb3cea
015115699	HMNTS	lsidyv38ba9b3d
015115700	HMNTS	lsidyv38cac60d
015115701	HMNTS	lsidyv38bd625e
015115702	HMNTS	lsidyv38bd67c4
015115703	HMNTS	lsidyv38bd700d
015115704	HMNTS	lsidyv38c6104b
015115705	HMNTS	lsidyv38be78c5
015115706	HMNTS	lsidyv38ca23ec
015115707	HMNTS	lsidyv38c3376a
015115708	HMNTS	lsidyv38be30f7
015115709	HMNTS	lsidyv38bbde0e
015115710	HMNTS	lsidyv38c04557
015115711	HMNTS	lsidyv38c62fac
015115712	HMNTS	lsidyv38c7a444
015115713	HMNTS	lsidyv38c51595
015115714	HMNTS	lsidyv38bb3ee5
015115715	HMNTS	lsidyv38bbb8f2
015115716	HMNTS	lsidyv38c62487
015115717	HMNTS	lsidyv38bd6cbf
015115718	HMNTS	lsidyv38bd5c2e
015115719	HMNTS	lsidyv38bc382f
015115720	HMNTS	lsidyv38c147c7
015115721	HMNTS	lsidyv38c68ace
015115722	HMNTS	lsidyv38c40318
015115723	HMNTS	lsidyv38c1a8e9
015115724	HMNTS	lsidyv38c619c0
015115725	HMNTS	lsidyv38c15573
