System Number	$b	$j
015742632	HMNTS	lsidyv35135d88
015742633	HMNTS	lsidyv385cfef4
015742634	HMNTS	lsidyv3e2d3977
015742635	HMNTS	lsidyv381eb42a
015742636	HMNTS	lsidyv3820d85b
015742637	HMNTS	lsidyv3820e69a
015742638	HMNTS	lsidyv355b1421
015742639	HMNTS	lsidyv3d81122e
015742640	HMNTS	lsidyv3d993d15
015742641	HMNTS	lsidyv35c96c63
015742642	HMNTS	lsidyv385e20c1
015742643	HMNTS	lsidyv38adde70
015742644	HMNTS	lsidyv385b843b
015742645	HMNTS	lsidyv38b5b4ed
015742646	HMNTS	lsidyv3865a05f
015742647	HMNTS	lsidyv35ba187b
015742648	HMNTS	lsidyv3bb9c7ab
015742649	HMNTS	lsidyv3d996df3
015742650	HMNTS	lsidyv3865a74a
015742651	HMNTS	lsidyv38ac9748
015742652	HMNTS	lsidyv355f0d43
015742653	HMNTS	lsidyv36266970
015742655	HMNTS	lsidyv3820f4ef
015742656	HMNTS	lsidyv381ca355
015742657	HMNTS	lsidyv355cdec8
015742659	HMNTS	lsidyv355cdc07
015742660	HMNTS	lsidyv35ba9298
015742661	HMNTS	lsidyv355c00dc
015742662	HMNTS	lsidyv355ead08
015742663	HMNTS	lsidyv38ae267c
015742664	HMNTS	lsidyv35ba1e6c
015742665	HMNTS	lsidyv381b8f92
015742666	HMNTS	lsidyv38af0157
015742667	HMNTS	lsidyv355f5fbf
015742668	HMNTS	lsidyv3e6b557b
015742669	HMNTS	lsidyv38ae0d3c
015742670	HMNTS	lsidyv3e54f22f
015742671	HMNTS	lsidyv38acf6a6
015742672	HMNTS	lsidyv35ba525f
015742673	HMNTS	lsidyv355c32cd
015742674	HMNTS	lsidyv385b27fa
015742675	HMNTS	lsidyv38aedd91
015742676	HMNTS	lsidyv3ccb6e21
015742677	HMNTS	lsidyv39392e83
015742678	HMNTS	lsidyv3e716b02
015742679	HMNTS	lsidyv3cba5eb7
015742680	HMNTS	lsidyv3e4de025
015742681	HMNTS	lsidyv355dd503
015742682	HMNTS	lsidyv381d7a6b
015742683	HMNTS	lsidyv355fe771
015742684	HMNTS	lsidyv38b9c10e
015742685	HMNTS	lsidyv38b85157
015742686	HMNTS	lsidyv38a06c9d
015742687	HMNTS	lsidyv38a096b4
015742688	HMNTS	lsidyv38a14434
015742689	HMNTS	lsidyv38a135eb
015742690	HMNTS	lsidyv385b8022
015742691	HMNTS	lsidyv3e4f2172
015742692	HMNTS	lsidyv3a9aabe1
015742693	HMNTS	lsidyv38b8e60f
015742694	HMNTS	lsidyv355d365f
015742695	HMNTS	lsidyv31612b70
015742696	HMNTS	lsidyv3a9fec91
015742697	HMNTS	lsidyv2af12807
015742698	HMNTS	lsidyv3e6030fa
015742699	HMNTS	lsidyv3e60605e
015742700	HMNTS	lsidyv314fce46
015742701	HMNTS	lsidyv355f4d58
015742702	HMNTS	lsidyv355dd01a
015742703	HMNTS	lsidyv355f979b
015742704	HMNTS	lsidyv3bb9cfd9
015742705	HMNTS	lsidyv38b96b9d
015742706	HMNTS	lsidyv38b9e02a
015742707	HMNTS	lsidyv38b5e0b9
015742708	HMNTS	lsidyv38a2945f
015742709	HMNTS	lsidyv3bb95802
015742710	HMNTS	lsidyv3820a751
015742711	HMNTS	lsidyv382085d4
015742712	HMNTS	lsidyv32c6180e
015742713	HMNTS	lsidyv355fff5c
015742714	HMNTS	lsidyv38954589
015742715	HMNTS	lsidyv2eb0b7df
015742716	HMNTS	lsidyv3034670e
015742717	HMNTS	lsidyv38209aa1
015742718	HMNTS	lsidyv38b68f4d
015742719	HMNTS	lsidyv38a1f173
015742720	HMNTS	lsidyv3e643394
015742721	HMNTS	lsidyv3e6cef10
015742723	HMNTS	lsidyv3e6b6d66
015742724	HMNTS	lsidyv3512e276
015742725	HMNTS	lsidyv3513ae39
015742726	HMNTS	lsidyv38c1319f
015742727	HMNTS	lsidyv3bb9beca
015742728	HMNTS	lsidyv3513703f
015742729	HMNTS	lsidyv38b6b615
015742730	HMNTS	lsidyv3d86c578
015742731	HMNTS	lsidyv35133d33
015742732	HMNTS	lsidyv3e2cc576
015742733	HMNTS	lsidyv38a28c52
015742768	HMNTS	lsidyv3ae3f97f
015742769	HMNTS	lsidyv3860acc4
015742770	HMNTS	lsidyv385c1592
015742771	HMNTS	lsidyv389daf98
015742772	HMNTS	lsidyv38954ffa
015742773	HMNTS	lsidyv38ad7f10
015742774	HMNTS	lsidyv38aeac9d
015742775	HMNTS	lsidyv3bb98e53
015742776	HMNTS	lsidyv38956c84
015742777	HMNTS	lsidyv38a3619b
015742778	HMNTS	lsidyv385e8806
015742779	HMNTS	lsidyv381d5390
015742781	HMNTS	lsidyv38a2628a
015742782	HMNTS	lsidyv38b9a655
015742783	HMNTS	lsidyv385e2f48
015742784	HMNTS	lsidyv389f5c9d
015742785	HMNTS	lsidyv3d823523
015742786	HMNTS	lsidyv381adb1f
